Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073361,13,1,0,2,9,0,14,1,290,0,4,334
E00073362,7,1,0,2,6,8,14,2,362,20,3,425
E00073363,1,0,0,0,8,3,9,2,311,7,0,341
E00073364,5,1,0,1,8,0,11,3,276,8,0,313
E00073365,0,2,0,0,7,0,17,3,295,0,0,324
E00073366,6,4,0,0,12,7,10,2,345,9,1,396
E00073367,6,1,0,2,3,0,5,1,277,10,0,305
E00073368,7,0,0,1,2,1,7,0,274,10,1,303
E00073369,10,0,0,0,8,8,15,2,282,4,0,329
E00073370,8,0,0,1,2,4,12,3,188,8,0,226
E00073371,4,0,0,0,8,0,10,3,158,3,5,191
E00073372,7,2,0,0,6,7,2,4,247,8,0,283
E00073373,3,2,0,0,12,1,11,2,241,1,9,282
E00073374,5,3,1,1,11,1,9,0,299,4,9,343
E00073375,1,1,0,0,7,4,13,1,284,6,13,330
E00073376,3,1,0,0,1,5,5,0,236,16,0,267
E00073377,8,2,0,0,9,2,3,3,250,2,6,285
E00073378,6,0,0,0,6,2,10,0,246,8,4,282
E00073379,1,0,0,1,5,1,3,4,337,11,1,364
E00073380,7,0,0,0,3,4,6,0,357,9,1,387
E00073381,10,2,0,0,6,3,18,6,376,1,5,427
E00073382,3,0,0,0,5,0,12,3,345,21,3,392
E00073383,4,0,0,0,8,0,12,1,232,5,5,267
E00073384,13,1,0,0,5,2,4,3,431,16,3,478
E00073385,5,0,0,0,10,1,20,1,317,4,0,358
E00073386,7,0,0,0,7,3,6,2,331,22,3,381
E00073387,0,2,0,0,4,7,7,0,212,4,0,236
E00073388,2,0,0,0,7,0,7,4,292,5,0,317
E00073389,13,0,0,1,8,5,26,3,257,12,5,330
E00073390,4,0,0,0,21,7,13,5,281,6,7,344
E00073391,3,1,0,1,4,1,21,4,280,0,7,322
E00073392,6,0,0,0,10,2,19,6,334,0,7,384
E00073393,8,2,0,0,6,0,5,0,267,3,5,296
E00073394,7,0,0,0,22,0,8,3,380,17,9,446
E00073395,11,2,0,0,12,0,6,0,288,2,7,328
E00073397,0,0,0,0,13,2,8,2,242,9,0,276
E00073398,3,0,0,0,10,4,9,0,244,9,3,282
E00073399,6,0,0,1,11,0,8,4,277,8,4,319
E00073400,1,1,0,0,12,0,6,3,274,13,7,317
E00073401,0,4,0,1,9,0,8,5,267,3,0,297
E00073402,6,2,0,0,15,2,10,3,216,13,3,270
E00073403,6,0,0,0,13,1,9,1,256,12,8,306
E00073404,1,1,0,0,10,0,11,3,252,11,0,289
E00073405,7,0,3,1,19,2,6,1,292,17,7,355
E00073406,1,1,1,0,8,0,5,6,263,6,2,293
E00073407,3,0,0,2,14,4,7,1,297,10,5,343
E00073408,0,2,0,1,8,0,6,2,339,4,0,362
E00073409,1,0,0,1,8,1,7,3,258,7,6,292
E00073410,8,1,0,0,12,6,9,1,257,5,0,299
E00073411,2,0,0,0,6,1,16,2,296,7,3,333
E00073412,7,0,0,0,10,2,14,8,335,7,6,389
E00073413,2,0,0,0,10,0,2,0,271,13,0,298
E00073414,31,0,0,0,37,9,7,5,189,40,6,324
E00073415,17,0,0,1,25,1,5,2,180,62,16,309
E00073416,8,5,1,2,28,1,4,3,230,14,5,301
E00073419,6,1,0,0,21,1,8,3,239,16,8,303
E00073420,5,1,1,6,7,1,5,9,150,25,5,215
E00073421,4,0,0,1,18,2,10,4,302,58,10,409
E00073422,45,0,0,0,8,0,3,6,145,26,7,240
E00073423,3,6,0,2,18,0,9,2,191,25,11,267
E00073424,53,0,1,0,15,0,9,2,169,12,17,278
E00073425,14,6,0,0,21,3,13,6,282,40,6,391
E00073426,6,0,0,1,19,2,6,6,275,49,7,371
E00073431,16,4,0,0,29,1,2,5,380,46,22,505
E00073432,15,1,0,0,9,3,4,1,110,17,6,166
E00073433,10,0,1,3,37,7,17,10,334,92,26,537
E00073437,9,1,0,0,15,1,9,4,163,10,0,212
E00073439,4,3,0,0,15,1,6,0,214,6,12,261
E00073440,5,1,0,0,18,1,10,1,233,0,6,275
E00073441,47,0,0,0,9,3,4,2,172,10,6,253
E00073442,13,3,0,2,15,1,2,3,349,13,6,407
E00073443,5,1,0,0,24,0,2,6,231,0,7,276
E00073444,4,3,1,0,20,1,3,1,190,9,7,239
E00073445,4,3,1,0,18,3,1,0,199,25,12,266
E00073446,10,0,0,0,32,2,5,2,315,51,14,431
E00073447,5,0,0,1,20,2,6,5,208,8,6,261
E00073448,5,2,0,0,22,4,2,1,248,6,6,296
E00073449,11,6,2,0,16,2,3,1,153,8,7,209
E00073450,3,2,0,0,23,0,4,1,219,10,8,270
E00073451,6,6,0,0,8,0,4,0,239,9,6,278
E00073452,7,1,0,0,25,1,10,4,203,14,15,280
