Row Labels,Apprenticeship,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No qualifications,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",TotalQual
E00073208,14,20,28,24,59,60,6,211
E00073209,9,32,33,34,45,61,9,223
E00073210,29,30,40,61,105,46,1,312
E00073211,21,52,74,64,89,109,9,418
E00073212,19,37,45,53,65,96,15,330
E00073213,26,32,39,45,72,77,5,296
E00073214,14,34,53,60,62,71,7,301
E00073215,8,28,31,20,31,45,12,175
E00073216,12,37,38,31,56,58,1,233
E00073217,23,33,39,56,50,55,12,268
E00073218,12,35,51,42,74,90,11,315
E00073219,11,41,29,28,33,70,2,214
E00073220,12,19,36,48,65,86,17,283
E00073221,22,31,37,42,51,60,10,253
E00073222,18,54,65,40,66,61,8,312
E00073223,13,22,38,52,81,47,15,268
E00073224,12,22,36,27,139,30,0,266
E00073225,7,12,28,53,221,37,4,362
E00073226,13,13,21,21,94,60,5,227
E00073227,7,14,22,24,140,26,1,234
E00073228,13,14,19,57,176,17,2,298
E00073229,17,36,37,45,76,34,9,254
E00073230,7,10,21,46,190,14,5,293
E00073231,13,14,31,55,221,14,5,353
E00073232,7,8,17,35,176,22,0,265
E00073233,14,22,24,35,101,30,3,229
E00073234,7,13,29,51,137,21,3,261
E00073236,11,13,16,34,123,31,3,231
E00073237,6,11,20,40,188,12,1,278
E00073238,3,5,12,29,180,17,5,251
E00073239,14,16,32,68,237,42,9,418
E00073240,12,40,33,60,128,58,5,336
E00073241,7,12,11,26,163,25,1,245
E00073242,15,25,36,35,86,35,1,233
E00073243,20,29,36,46,99,47,7,284
E00073245,16,31,50,64,80,48,6,295
E00073246,15,25,30,42,115,32,9,268
E00073247,21,31,32,57,67,46,6,260
E00073248,8,17,18,42,149,24,0,258
E00073249,13,26,20,15,36,108,10,228
E00073250,12,45,43,67,202,44,12,425
E00073251,9,21,24,50,167,55,11,337
E00073252,14,22,46,50,95,56,7,290
E00073253,18,51,50,51,131,90,10,401
E00073254,15,23,20,36,135,43,12,284
E00073255,12,35,33,41,165,63,3,352
E00073256,14,27,31,45,125,57,6,305
E00073257,23,22,42,66,87,54,12,306
E00073258,16,28,37,46,135,52,6,320
E00073259,14,27,28,37,58,45,15,224
E00073260,19,30,40,44,82,44,8,267
E00073261,13,45,37,44,56,65,8,268
E00073262,3,35,30,23,33,71,4,199
E00073263,7,6,15,83,210,12,6,339
E00073264,9,13,21,73,160,22,4,302
E00073266,5,3,19,65,177,7,0,276
E00073267,9,16,21,36,132,14,3,231
E00073268,4,14,27,73,216,10,4,348
E00073269,3,8,19,81,203,20,6,340
E00073270,4,8,24,79,196,11,1,323
E00073271,10,10,27,89,249,12,3,400
E00073272,7,13,28,53,169,19,3,292
E00073273,5,9,18,31,151,13,4,231
E00073274,13,49,61,104,213,77,11,528
E00073276,0,14,13,95,135,28,3,288
E00073277,9,8,20,51,173,3,0,264
E00073278,2,6,20,28,230,12,0,298
E00073280,0,6,21,48,188,7,1,271
E00073281,3,5,21,84,206,7,1,327
E00073282,5,0,33,70,191,4,5,308
E00073283,4,6,12,37,191,15,0,265
E00073284,8,6,15,33,73,42,7,184
E00073285,7,6,24,63,204,18,1,323
E00073286,5,13,20,32,192,8,3,273
E00073287,2,7,13,26,162,15,7,232
E00073288,5,11,21,36,182,18,0,273
E00073289,4,1,26,47,200,14,1,293
E00073290,6,7,16,23,185,4,1,242
E00073291,5,11,16,33,192,12,0,269
E00073292,7,12,28,109,269,20,4,449
E00073293,7,6,21,70,191,20,3,318
E00073294,0,11,27,101,195,25,2,361
E00073295,7,14,16,36,165,9,6,253
E00073296,0,9,24,52,160,7,1,253
E00073297,8,6,22,68,175,10,9,298
E00073298,10,7,26,98,219,21,3,384
E00073299,7,17,14,45,196,17,4,300
E00073300,0,1,13,27,160,7,1,209
E00073301,19,40,54,62,77,57,5,314
E00073302,19,34,48,35,52,57,3,248
E00073303,27,50,44,48,76,65,10,320
