Row Labels,1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,TotalBed
E00073293,6,10,72,59,147
E00073294,11,36,54,47,148
E00073295,5,6,85,35,131
E00073296,0,15,63,37,115
E00073297,19,39,46,36,140
E00073298,64,70,26,28,188
E00073299,5,59,60,21,145
E00073300,2,26,60,19,107
E00073301,4,22,94,23,143
E00073302,11,89,42,7,149
E00073303,1,44,101,10,156
E00073304,3,28,81,7,119
E00073305,16,35,57,25,133
E00073306,0,6,71,33,110
E00073307,7,12,95,12,126
E00073308,1,41,76,8,126
E00073309,39,31,52,9,131
E00073310,7,48,85,9,149
E00073311,9,28,65,21,123
E00073312,13,26,82,20,141
E00073313,0,55,81,9,145
E00073314,20,83,16,4,123
E00073315,33,39,21,2,95
E00073316,8,34,68,8,118
E00073317,11,39,64,4,118
E00073318,0,42,74,14,130
E00073319,27,51,97,15,190
E00073320,12,29,96,23,160
E00073321,28,37,68,13,146
E00073322,1,15,87,31,134
E00073323,4,13,85,12,114
E00073324,3,7,112,19,141
E00073325,15,45,85,17,162
E00073326,45,24,62,12,143
E00073327,6,12,104,12,134
E00073328,12,12,97,16,137
E00073329,18,12,90,13,133
E00073330,7,15,102,23,147
E00073331,4,6,116,44,170
E00073332,1,8,93,17,119
E00073333,4,40,70,22,136
E00073334,10,14,85,11,120
E00073335,38,45,86,11,180
E00073336,0,6,77,33,116
E00073337,0,49,75,6,130
E00073338,0,7,98,11,116
E00073339,37,45,34,21,137
E00073340,13,86,36,2,137
E00073341,5,32,82,17,136
E00073342,21,38,94,17,170
E00073343,14,24,92,29,159
E00073344,9,43,65,6,123
E00073345,9,71,24,2,106
E00073346,3,7,99,27,136
E00073347,47,53,9,1,110
E00073348,16,91,26,5,138
E00073349,5,15,88,14,122
E00073350,30,71,62,5,168
E00073351,3,8,111,3,125
E00073352,46,26,49,4,125
E00073353,9,70,69,7,155
E00073354,3,11,107,5,126
E00073355,9,33,80,16,138
E00073356,12,37,68,33,150
E00073357,9,23,71,25,128
E00073358,5,19,71,27,122
E00073359,2,32,84,9,127
E00073360,6,56,51,5,118
E00073361,17,20,75,8,120
E00073362,1,92,88,9,190
E00073363,4,9,115,5,133
E00073364,29,41,56,5,131
E00073365,2,22,84,15,123
E00073366,15,42,88,31,176
E00073367,1,26,87,18,132
E00073368,7,13,84,8,112
E00073369,2,41,69,13,125
E00073370,38,56,32,4,130
E00073371,30,35,41,5,111
E00073372,30,71,12,7,120
E00073373,10,40,64,6,120
E00073374,7,37,74,21,139
E00073375,4,38,77,14,133
E00073376,0,13,89,10,112
E00073377,16,39,53,13,121
E00073378,10,35,67,11,123
E00073379,5,25,53,61,144
E00073380,12,13,92,32,149
E00073381,19,24,91,26,160
E00073382,0,9,103,27,139
E00073383,56,75,21,1,153
E00073384,5,12,67,96,180
E00073385,18,41,64,5,128
E00073386,49,59,71,6,185
E00073387,50,24,47,1,122
E00073388,2,1,95,21,119
E00073389,41,42,51,17,151
E00073390,14,48,65,23,150
E00073391,26,10,88,9,133
E00073392,13,24,102,14,153
E00073393,6,18,93,10,127
E00073394,34,51,90,25,200
E00073395,13,33,67,17,130
E00073397,9,9,83,12,113
E00073398,1,39,66,13,119
E00073399,0,61,61,5,127
E00073400,7,40,65,19,131
E00073401,8,54,66,8,136
E00073402,26,55,33,7,121
E00073403,19,34,65,12,130
E00073404,8,60,62,4,134
E00073405,28,26,58,33,145
E00073406,14,16,68,20,118
E00073407,57,36,54,9,156
E00073408,6,7,81,37,131
E00073409,22,3,30,56,111
E00073410,14,8,101,7,130
E00073411,4,5,99,17,125
E00073412,12,43,64,37,156
E00073413,6,12,60,41,119
E00073414,46,30,23,19,118
E00073415,24,51,11,14,100
E00073416,47,31,19,37,134
E00073419,91,32,17,19,159
E00073420,45,17,11,18,91
E00073421,23,16,12,53,104
E00073422,50,62,6,0,118
E00073423,46,28,17,24,115
E00073424,48,68,9,0,125
E00073425,36,47,26,21,130
E00073426,11,2,41,72,126
E00073431,45,46,37,60,188
E00073432,43,30,6,6,85
E00073433,77,64,13,28,182
E00073437,66,69,1,0,136
E00073439,66,57,13,10,146
E00073440,45,39,17,27,128
E00073441,49,67,9,6,131
E00073442,14,39,39,73,165
E00073443,19,30,30,38,117
E00073444,37,53,19,6,115
E00073445,12,51,34,16,113
E00073446,60,30,22,48,160
