Row Labels,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,TotalOcT
E00073280,22,85,28,15,7,11,4,0,8,180
E00073281,42,73,40,13,14,10,10,5,17,224
E00073282,31,78,32,18,10,9,16,9,13,216
E00073283,35,81,29,7,8,7,7,0,8,182
E00073284,5,26,11,5,0,7,1,1,5,61
E00073285,23,79,35,9,3,10,19,6,13,197
E00073286,25,75,35,17,10,1,11,1,9,184
E00073287,15,76,28,15,11,7,7,5,4,168
E00073288,29,60,27,16,11,9,7,0,14,173
E00073289,25,100,32,10,6,7,9,6,8,203
E00073290,44,79,25,7,11,1,6,2,6,181
E00073291,25,82,33,7,10,11,10,3,11,192
E00073292,32,125,59,17,20,15,21,9,21,319
E00073293,23,92,33,10,10,13,8,4,9,202
E00073294,33,92,30,12,13,15,19,10,16,240
E00073295,26,80,28,8,11,7,5,0,4,169
E00073296,21,62,29,16,12,6,10,6,9,171
E00073297,28,71,43,12,12,9,9,8,14,206
E00073298,19,75,37,20,23,27,30,7,28,266
E00073299,25,88,42,22,11,14,7,3,14,226
E00073300,23,77,31,10,7,6,4,1,2,161
E00073301,19,30,23,19,34,19,17,14,18,193
E00073302,9,17,14,20,19,24,16,9,29,157
E00073303,17,26,26,25,31,20,18,21,30,214
E00073304,13,8,9,8,17,20,14,16,39,144
E00073305,5,23,8,24,24,19,25,14,15,157
E00073306,15,19,11,14,21,13,4,9,10,116
E00073307,13,28,19,19,14,9,6,13,7,128
E00073308,16,12,11,12,22,18,26,9,18,144
E00073309,9,9,15,17,19,12,12,11,18,122
E00073310,7,19,17,7,17,24,18,10,31,150
E00073311,9,16,8,11,19,13,11,10,16,113
E00073312,5,7,12,23,29,20,14,14,29,153
E00073313,18,22,18,9,20,24,17,19,33,180
E00073314,5,6,2,12,8,12,5,6,8,64
E00073315,8,0,3,12,18,8,9,6,15,79
E00073316,8,4,15,18,17,15,5,15,21,118
E00073317,10,14,14,8,19,20,16,11,22,134
E00073318,10,8,8,11,27,19,22,10,33,148
E00073319,22,86,37,30,43,19,17,12,26,292
E00073320,27,45,35,25,29,16,20,13,16,226
E00073321,12,28,21,15,22,21,15,20,12,166
E00073322,19,24,19,23,26,12,8,10,13,154
E00073323,14,22,26,22,13,17,4,14,8,140
E00073324,24,50,24,40,18,14,10,9,21,210
E00073325,21,49,31,23,24,18,18,14,19,217
E00073326,8,14,13,11,21,11,10,12,14,114
E00073327,16,31,17,21,23,22,12,10,25,177
E00073328,21,27,27,22,17,18,10,12,19,173
E00073329,15,13,24,22,30,6,10,6,25,151
E00073330,21,33,24,16,26,26,10,5,27,188
E00073331,26,48,31,21,35,20,15,8,16,220
E00073332,15,31,21,29,23,8,9,13,14,163
E00073333,14,23,20,19,29,8,12,8,13,146
E00073334,11,23,26,24,31,19,11,8,11,164
E00073335,6,17,19,32,26,31,26,12,36,205
E00073336,13,20,24,17,21,15,16,10,16,152
E00073337,5,29,10,27,26,17,13,14,16,157
E00073338,12,35,18,21,17,5,9,13,17,147
E00073339,15,51,28,17,16,10,16,13,34,200
E00073340,11,38,27,24,12,15,15,7,10,159
E00073341,23,55,40,20,10,14,10,8,10,190
E00073342,34,38,25,19,18,24,15,18,20,211
E00073343,22,46,30,29,16,16,15,12,21,207
E00073344,14,38,28,20,14,11,12,7,18,162
E00073345,6,18,19,15,17,4,14,10,7,110
E00073346,23,63,29,16,16,15,13,10,17,202
E00073347,9,29,25,10,6,9,16,6,4,114
E00073348,10,52,29,21,18,12,9,13,19,183
E00073349,11,29,26,13,21,14,17,9,28,168
E00073350,19,51,24,23,16,20,13,11,25,202
E00073351,13,28,14,7,20,22,11,15,21,151
E00073352,7,18,18,12,8,7,12,8,22,112
E00073353,29,74,59,16,16,10,11,7,9,231
