Row Labels,Any other combination of only UK identities,British only identity,Cornish and British only identity,Cornish only identity,Does not apply,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Welsh and British only identity,Welsh only identity,TotalIde
E00073178,4,222,0,1,0,37,19,2,2,1,2,15,38,2,2,1,5,353
E00073179,1,203,0,0,0,31,24,2,4,0,0,27,38,0,0,0,5,335
E00073181,3,336,0,0,0,40,16,2,3,0,0,17,68,1,0,0,4,490
E00073182,3,277,0,1,0,46,27,0,0,0,0,13,65,0,1,5,11,449
E00073183,2,172,0,0,0,62,63,2,0,0,0,8,10,0,0,1,1,321
E00073184,0,181,0,0,0,68,51,0,2,0,1,6,24,0,2,2,1,338
E00073185,0,186,0,0,0,52,65,0,0,0,1,0,51,0,0,0,1,356
E00073186,0,160,0,0,0,57,48,0,0,0,0,4,19,0,3,0,1,292
E00073187,0,178,0,0,0,56,54,0,0,0,0,6,74,1,0,0,2,371
E00073188,0,139,0,0,0,66,47,0,11,0,0,2,14,0,0,0,0,279
E00073189,0,165,0,0,0,69,46,0,1,0,0,5,16,0,0,2,3,307
E00073190,1,217,0,0,0,84,50,0,3,0,0,7,50,0,0,2,3,417
E00073191,2,143,0,0,0,66,48,0,0,0,0,4,21,0,0,0,1,285
E00073192,0,130,0,0,0,55,36,1,0,0,1,7,45,1,0,0,0,276
E00073193,0,195,0,0,0,58,65,0,3,0,0,5,19,0,0,0,3,348
E00073194,0,164,0,0,0,85,31,0,2,0,0,3,31,1,1,0,5,323
E00073195,0,176,0,0,0,74,52,0,1,1,2,13,15,0,5,2,2,343
E00073196,1,108,0,0,0,37,39,0,0,0,0,2,36,4,0,1,4,232
E00073197,0,199,0,0,0,54,60,1,2,0,1,9,42,2,4,0,3,377
E00073198,1,112,0,1,0,26,43,1,0,0,0,0,15,0,2,1,5,207
E00073199,0,176,0,0,0,47,31,0,1,1,0,8,28,1,0,1,0,294
E00073200,1,156,0,0,0,52,47,0,0,0,0,6,24,0,0,0,6,292
E00073201,0,139,0,0,0,38,45,0,0,0,0,11,22,0,2,1,2,260
E00073202,2,163,0,0,0,45,48,0,3,0,0,7,57,0,4,3,3,335
E00073203,2,167,0,0,0,26,39,3,2,0,1,5,40,0,3,1,4,293
E00073204,0,171,0,0,0,54,34,0,1,0,0,2,29,1,0,2,1,295
E00073205,1,213,1,0,0,63,58,1,3,0,3,7,43,0,1,1,2,397
E00073206,0,265,0,0,0,63,59,2,2,0,0,17,43,0,0,2,3,456
E00073207,3,162,0,1,0,45,52,1,1,0,0,3,20,1,0,3,6,298
E00073208,1,140,0,0,0,38,34,0,3,0,1,7,15,1,1,6,4,251
E00073209,1,165,0,0,0,39,57,0,1,0,0,3,20,0,1,0,6,293
E00073210,0,213,0,0,0,64,62,0,0,0,0,5,23,1,1,2,2,373
E00073211,2,238,0,0,0,91,70,0,3,0,0,7,82,0,2,2,3,500
E00073212,0,156,0,0,0,49,43,0,1,0,0,5,134,0,0,3,4,395
E00073213,3,128,0,0,0,43,41,0,1,0,0,15,110,0,0,4,2,347
E00073214,0,224,0,0,0,78,45,0,0,0,1,5,49,0,0,2,2,406
E00073215,0,180,0,0,0,56,29,0,3,0,0,4,50,0,0,0,0,322
E00073216,0,199,0,0,0,70,34,0,4,0,1,2,55,0,0,1,0,366
E00073217,0,158,0,0,0,44,55,0,0,1,0,3,60,0,0,0,0,321
E00073218,0,202,0,0,0,40,43,0,0,0,0,1,91,0,0,0,7,384
E00073219,0,169,0,0,0,62,44,0,0,0,0,5,70,0,0,2,3,355
E00073220,1,180,0,0,0,50,56,0,0,0,0,8,63,0,0,0,7,365
E00073221,0,144,0,0,0,52,63,0,2,0,0,4,25,0,1,0,2,293
E00073222,0,227,0,0,0,53,69,1,1,0,0,8,40,1,3,0,0,403
E00073223,0,159,0,0,0,36,70,0,4,0,2,5,46,0,0,1,3,326
E00073224,2,177,0,0,0,42,38,0,7,0,0,11,22,1,0,2,2,304
E00073225,1,221,0,2,0,59,43,1,2,0,1,10,55,0,2,1,8,406
E00073226,0,141,0,0,0,29,35,1,2,0,0,7,20,1,2,3,4,245
E00073227,1,127,0,1,0,35,35,3,1,1,0,7,44,0,4,1,1,261
E00073228,0,193,0,2,0,40,35,2,8,0,0,15,43,0,0,2,10,350
E00073229,0,189,0,0,0,53,64,0,0,0,0,0,8,0,1,0,1,316
E00073230,3,192,0,0,0,60,34,1,1,0,0,14,38,0,0,2,4,349
E00073231,4,264,0,1,0,62,38,0,5,0,1,21,27,3,4,3,7,440
E00073232,0,184,0,0,0,43,24,2,3,0,0,9,28,0,3,6,6,308
E00073233,1,189,0,0,0,49,48,2,1,0,0,5,7,1,3,6,2,314
E00073234,2,173,2,0,0,57,32,1,2,0,1,8,6,2,4,2,5,297
E00073236,1,154,0,0,0,61,38,1,3,0,4,5,4,0,3,2,5,281
E00073237,0,190,0,4,0,51,20,0,2,2,0,8,32,3,1,4,5,322
E00073238,3,188,0,0,0,38,27,1,0,0,0,9,14,0,3,5,6,294
E00073239,2,251,1,1,0,69,46,1,3,0,0,7,70,1,2,4,12,470
E00073240,3,213,0,2,0,74,48,0,0,0,0,15,36,1,4,2,5,403
E00073241,1,175,0,0,0,42,26,0,2,0,0,5,17,1,2,0,4,275
E00073242,1,132,0,0,0,41,55,1,3,0,2,3,20,0,0,1,0,259
E00073243,0,204,0,0,0,48,60,1,1,0,0,15,23,0,0,0,4,356
E00073245,4,213,0,0,0,67,65,0,0,0,0,2,10,0,0,1,2,364
E00073246,0,197,0,0,0,43,66,0,1,3,0,1,16,0,0,0,2,329
E00073247,0,220,0,3,0,42,47,0,0,0,0,2,13,0,0,0,1,328
E00073248,1,183,0,0,0,36,44,1,4,0,0,8,20,1,2,0,7,307
E00073249,0,130,0,0,0,26,69,2,2,0,0,0,17,0,3,0,1,250
E00073250,1,250,0,1,0,61,66,0,2,0,0,19,83,1,7,0,5,496
E00073251,2,216,0,1,0,41,40,1,4,1,0,18,31,2,7,5,4,373
E00073252,1,176,0,0,0,23,52,0,1,0,0,8,58,1,3,0,5,328
E00073253,1,294,0,0,0,84,79,1,1,0,0,6,52,1,5,0,0,524
E00073254,3,182,0,0,0,45,32,0,0,0,1,5,52,0,0,3,5,328
E00073255,2,240,0,0,0,55,52,0,2,0,0,13,53,0,0,2,12,431
E00073256,1,192,0,0,0,54,60,1,2,0,0,9,39,2,0,1,4,365
E00073257,1,205,0,0,0,68,80,1,0,0,0,9,21,2,0,1,1,389
E00073258,1,224,0,1,0,36,63,0,3,0,4,3,57,0,1,3,6,402
E00073259,0,155,0,0,0,45,46,0,2,0,2,0,9,0,0,1,0,260
E00073260,1,151,0,1,0,48,79,4,1,0,0,0,18,0,0,1,4,308
E00073261,0,186,0,0,0,67,63,1,1,0,0,10,12,2,0,0,3,345
E00073262,0,137,0,4,0,43,31,0,1,1,1,4,16,0,1,0,1,240
E00073263,2,224,0,0,0,45,33,2,2,0,3,15,60,0,4,3,11,404
E00073264,1,237,0,0,0,34,36,0,0,0,0,10,31,0,3,3,6,361
E00073266,3,197,0,1,0,57,22,1,0,0,1,18,23,0,0,2,4,329
E00073267,1,147,0,1,0,47,37,0,4,0,0,11,17,1,1,3,6,276
E00073268,5,252,0,1,0,61,27,1,10,0,1,17,30,3,2,3,10,423
E00073269,2,227,0,0,0,46,48,3,4,2,0,22,31,2,4,7,9,407
E00073270,2,238,0,0,0,54,26,1,2,0,0,9,38,3,3,8,12,396
E00073271,1,283,1,0,0,51,45,1,6,1,3,24,49,1,2,2,7,477
E00073272,0,208,0,0,0,56,35,1,3,0,0,7,39,1,1,2,4,357
E00073273,1,180,0,0,0,36,21,1,1,1,1,12,18,2,3,2,3,282
E00073274,5,314,0,2,0,90,97,2,1,0,1,22,52,1,0,3,11,601
E00073276,3,185,0,0,0,47,21,0,2,0,1,14,43,0,0,4,4,324
E00073277,5,230,0,0,0,25,21,0,4,0,0,20,17,1,0,1,6,330
E00073278,2,240,0,0,0,52,34,2,8,0,3,16,20,2,4,3,7,393
E00073280,4,230,0,1,0,33,29,0,2,2,1,11,25,1,3,2,9,353
E00073281,9,271,0,0,0,46,34,3,7,0,0,19,25,0,2,2,8,426
E00073282,1,287,0,0,0,38,24,3,7,0,2,20,32,0,1,4,5,424
E00073283,4,212,0,0,0,43,15,1,4,0,1,24,22,1,4,4,6,341
E00073284,1,83,0,0,0,36,38,0,4,0,1,9,26,0,0,2,7,207
