Row Labels,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,TotalOcc
E00074353,79,2,9,14,5,6,86,15,20,236
E00074354,77,4,16,8,5,21,68,24,26,249
E00074355,83,3,11,9,8,19,60,26,19,238
E00074356,106,3,4,6,3,12,58,28,20,240
E00074357,86,6,20,14,11,17,59,28,23,264
E00074358,83,4,16,9,7,14,81,15,22,251
E00074359,66,3,7,8,13,10,55,40,20,222
E00074360,93,6,6,4,5,23,73,31,19,260
E00074361,81,0,11,12,10,23,79,32,16,264
E00074362,94,1,21,6,13,16,73,30,26,280
E00074363,23,25,30,29,12,14,55,36,31,255
E00074364,11,4,56,58,34,14,27,22,18,244
E00074365,22,19,27,29,13,9,52,63,30,264
E00074366,14,23,53,59,24,6,35,28,35,277
E00074367,3,13,62,62,60,15,27,31,26,299
E00074368,27,25,35,47,18,8,51,39,24,274
E00074369,12,12,40,41,20,11,23,27,20,206
E00074371,9,19,28,50,24,16,28,13,15,202
E00074372,7,8,50,54,31,8,22,19,20,219
E00074373,17,26,40,58,25,11,48,55,25,305
E00074374,7,10,35,62,24,13,23,14,20,208
E00074375,5,18,59,76,39,37,23,24,21,302
E00074376,29,24,41,42,15,8,47,49,26,281
E00074377,9,19,48,61,46,24,30,23,21,281
E00074378,26,15,31,42,16,5,38,48,32,253
E00074379,25,21,39,36,11,8,47,36,26,249
E00074380,29,19,39,21,11,4,60,39,22,244
E00074381,22,15,29,27,9,8,32,34,28,204
E00074382,25,12,35,39,17,6,47,46,35,262
E00074383,8,19,41,37,32,11,28,21,19,216
E00074384,5,15,55,59,33,16,12,12,22,229
E00074385,9,13,39,65,42,16,22,23,16,245
E00074386,38,12,40,35,6,6,54,49,31,271
E00074387,7,17,41,47,22,6,24,26,21,211
E00074388,32,20,23,24,12,3,42,48,19,223
E00074389,10,15,43,53,31,20,26,29,15,242
E00074390,9,5,28,27,40,9,8,14,9,149
E00074391,4,7,37,55,42,10,11,20,11,197
E00074392,5,11,40,56,34,17,24,27,19,233
E00074393,9,15,37,55,49,23,18,20,17,243
E00074394,9,15,28,55,35,15,12,19,17,205
E00074395,9,18,45,56,42,15,18,25,12,240
E00074396,19,19,35,25,8,12,71,47,27,263
E00074397,7,17,47,54,37,18,22,29,24,255
E00074398,32,14,46,36,16,11,53,36,46,290
E00074399,77,12,13,23,16,14,85,35,16,291
E00074400,37,13,59,73,37,41,67,49,32,408
E00074401,98,9,22,18,10,17,107,40,24,345
E00074402,81,7,20,13,6,7,110,26,26,296
E00074403,89,18,15,17,4,15,116,42,27,343
E00074404,59,13,24,23,25,20,83,22,28,297
E00074405,47,20,35,39,17,19,66,48,27,318
E00074406,28,21,39,64,43,34,56,37,21,343
E00074407,79,16,46,49,32,22,81,42,31,398
E00074408,49,26,32,58,36,24,77,36,20,358
E00074411,82,21,49,61,36,38,115,41,38,481
E00074412,15,13,30,53,36,18,31,21,22,239
E00074413,62,14,19,27,19,18,69,40,28,296
E00074414,58,11,16,11,10,20,81,28,11,246
E00074415,62,9,12,23,10,16,80,31,23,266
E00074416,68,2,18,19,16,23,92,25,38,301
E00074417,70,13,23,22,14,16,77,30,17,282
E00074418,53,9,17,18,4,7,62,26,17,213
E00074419,74,3,18,20,9,9,80,24,18,255
E00074420,90,13,21,21,12,14,88,32,25,316
E00074421,47,12,18,24,22,13,71,28,17,252
E00074422,40,12,35,24,14,17,49,25,28,244
E00074423,70,9,15,21,6,11,80,25,35,272
E00074424,43,11,19,13,6,15,69,25,12,213
E00074425,61,6,21,17,4,17,64,32,23,245
E00074426,70,5,10,19,8,18,76,26,22,254
E00074427,71,10,24,28,12,14,64,34,23,280
E00074428,75,1,19,11,5,11,87,26,33,268
E00074429,71,12,20,24,13,8,74,30,31,283
E00074430,56,11,25,16,19,25,78,28,29,287
E00074431,81,13,18,36,17,31,120,28,38,382
E00074432,82,8,24,23,5,16,90,33,16,297
E00074433,85,9,7,13,7,12,84,26,21,264
E00074434,37,8,30,32,24,14,56,17,20,238
E00074435,60,14,33,20,8,5,83,25,21,269
E00074436,63,14,28,24,18,22,79,47,31,326
E00074437,68,11,21,25,11,28,91,33,22,310
E00074438,76,11,26,18,10,15,78,38,40,312
E00074439,16,9,15,31,20,7,36,12,18,164
E00165771,29,13,47,52,35,143,52,24,21,416
E00165772,27,9,8,3,3,28,31,12,5,126
E00174043,29,2,4,2,4,278,54,14,9,396
E00174044,30,11,31,38,27,75,44,22,36,314
E00174046,47,4,9,9,3,170,58,20,8,328
E00174053,51,11,29,37,32,30,58,26,16,290
E00174058,31,7,27,29,20,44,53,26,27,264
E00174214,30,9,21,32,10,40,46,21,19,228
E00174215,29,14,26,40,20,28,34,18,13,222
E00174218,96,10,17,20,7,143,85,21,15,414
E00174220,30,0,3,1,4,15,39,10,13,115
E00174221,56,3,12,6,14,22,32,21,12,178
E00174225,36,4,14,10,5,20,35,13,11,148
E00174226,46,5,19,22,25,55,71,30,7,280
E00174228,24,11,22,23,33,59,35,22,22,251
E00174229,19,19,45,74,44,41,73,37,28,380
E00174231,32,3,6,11,4,250,23,15,6,350
E00174232,59,16,29,36,16,30,73,29,17,305
E00174234,71,17,25,33,15,28,108,32,18,347
E00174237,33,6,33,31,16,63,45,40,20,287
E00174239,8,4,12,12,9,13,17,6,8,89
E00174243,71,7,12,10,12,101,66,20,8,307
E00174245,57,7,9,14,6,14,42,15,12,176
E00174246,11,11,19,36,19,43,38,19,10,206
E00174248,43,6,12,12,0,11,51,24,7,166
E00174249,35,9,13,11,15,306,42,17,12,460
E00174251,54,16,37,69,45,45,84,53,36,439
E00174253,43,4,20,24,23,21,49,27,17,228
E00174254,10,10,32,45,28,22,25,19,20,211
E00174256,89,5,9,10,6,24,78,23,16,260
E00174257,100,13,19,22,14,24,79,44,8,323
E00174259,43,20,29,18,28,13,63,35,24,273
E00174260,20,7,26,25,27,14,26,12,16,173
E00174262,61,11,23,24,16,77,60,25,11,308
E00174263,44,7,7,16,4,27,34,15,8,162
E00174273,12,17,26,45,53,31,28,11,31,254
E00174275,53,3,7,8,4,8,47,12,14,156
E00174276,45,14,24,30,5,13,57,21,17,226
E00174277,95,5,16,12,12,10,66,19,11,246
E00174278,112,16,12,17,7,14,130,53,31,392
E00174279,24,8,10,19,12,51,51,22,12,209
E00174280,19,14,34,27,24,7,31,22,23,201
